Marker,Lab_parameter,Test,Statistika,p_hodnota,n_het,n_hom,n_wt,median_het,median_hom,median_wt,p_FDR,Vyznamne_FDR,n_all_wt,n_any_het,n_any_hom,median_all_wt,median_any_het,median_any_hom
HFE_overall,Bili-celkový_S,Kruskal-Wallis,71.991,2.3299786044627417e-16,,,,,,,3.122171329980074e-14,True,1795.0,922.0,85.0,26.8,23.2,10.4
HFE_overall,Bili-priamy_S,Kruskal-Wallis,73.062,1.3636626656127326e-16,,,,,,,3.122171329980074e-14,True,1777.0,910.0,85.0,12.7,8.95,3.4
HFE_C282Y,Krvný obraz: Šírka dist.kriv._RBC,Kruskal-Wallis,60.78,6.33590781801134e-14,122.0,39.0,1778.0,14.7,13.2,15.3,1.2164943010581773e-11,True,,,,,,
HFE_overall,GMT_S,Kruskal-Wallis,57.368,3.4881479524715414e-13,,,,,,,3.116078837541244e-11,True,1958.0,1008.0,88.0,2.34,1.965,1.015
HFE_overall,ALP_S,Kruskal-Wallis,55.685,8.094503376954498e-13,,,,,,,5.423317262559514e-11,True,1869.0,976.0,87.0,1.93,1.87,1.31
HFE_C282Y,Krvný obraz: Hematokrit_HCT,Kruskal-Wallis,48.862,2.4529788347460482e-11,122.0,39.0,1787.0,0.374,0.406,0.347,2.354859681356206e-09,True,,,,,,
HFE_C282Y,Krvný obraz: Hemoglobín_HGB,Kruskal-Wallis,47.885,3.997646824702034e-11,122.0,39.0,1787.0,127.5,137.0,115.0,2.5584939678093023e-09,True,,,,,,
HFE_overall,Albumín_S,Kruskal-Wallis,47.115,5.877237907383099e-11,,,,,,,3.150199518357341e-09,True,1307.0,660.0,51.0,32.1,32.9,41.0
HFE_C282Y,Bili-priamy_S,Kruskal-Wallis,46.331,8.69876099080489e-11,181.0,39.0,2552.0,7.6,2.6,11.45,3.340324220469078e-09,True,,,,,,
HFE_C282Y,ALT_S,Kruskal-Wallis,46.423,8.306153685369261e-11,209.0,44.0,2910.0,0.79,0.36,0.86,3.340324220469078e-09,True,,,,,,
HFE_C282Y,Amyláza_S,Kruskal-Wallis,45.839,1.1120960725522213e-10,55.0,36.0,920.0,1.07,2.295,0.81,3.558707432167108e-09,True,,,,,,
HFE_overall,Krvný obr._DIFF_5pop: Šírka dist.kriv._RBC,Kruskal-Wallis,44.874,1.8014706607499283e-10,,,,,,,8.046568951349679e-09,True,787.0,461.0,49.0,14.8,14.4,13.1
HFE_overall,Krvný obraz: Šírka dist.kriv._RBC,Kruskal-Wallis,44.41,2.2728442938407398e-10,,,,,,,8.70174672499026e-09,True,1267.0,628.0,44.0,15.3,15.0,13.2
HFE_S65C,Krvný obraz: Stredný objem_PLT,Mann-Whitney U,57403.5,9.146049321679571e-11,106.0,,1731.0,10.4,,11.0,1.2713008557134603e-08,True,,,,,,
HFE_overall,Krvný obraz: Hematokrit_HCT,Kruskal-Wallis,39.485,2.6661485178882947e-09,,,,,,,8.931597534925787e-08,True,1269.0,635.0,44.0,0.347,0.353,0.405
HFE_C282Y,Bili-celkový_S,Kruskal-Wallis,38.909,3.5566661206359898e-09,183.0,39.0,2580.0,25.0,9.0,24.75,9.755427073744429e-08,True,,,,,,
HFE_overall,Krvný obraz: Trombocyty_PLT,Kruskal-Wallis,38.49,4.38596510213484e-09,,,,,,,1.3060429415245966e-07,True,1269.0,635.0,44.0,177.0,167.0,234.5
HFE_overall,Krvný obraz: Hemoglobín_HGB,Kruskal-Wallis,37.888,5.9267689782970355e-09,,,,,,,1.5883740861836055e-07,True,1269.0,635.0,44.0,114.0,117.0,136.5
HFE_C282Y,Krvný obraz: Erytrocyty_RBC,Kruskal-Wallis,36.82,1.0105684589813603e-08,122.0,39.0,1787.0,4.0,4.34,3.67,2.425364301555265e-07,True,,,,,,
