Marker,Genotyp,Lab_parameter,N,Median,Q1,Q3,Priemer,SD
HFE_H63D,het,Kreatinín_S,729,78.3,64.0,108.0,97.94,59.729
HFE_H63D,hom,Kreatinín_S,36,96.3,82.275,124.225,117.092,64.316
HFE_H63D,wt,Kreatinín_S,2339,76.8,62.45,103.0,106.843,102.491
HFE_H63D,het,Urea_S,718,5.4,3.7,8.2,6.948,5.147
HFE_H63D,hom,Urea_S,36,5.55,4.6,8.15,7.578,5.929
HFE_H63D,wt,Urea_S,2332,4.8,3.5,7.0,7.113,7.81
HFE_H63D,het,AST_S,772,0.8,0.45,1.74,2.139,5.66
HFE_H63D,hom,AST_S,50,0.715,0.458,1.608,2.614,7.63
HFE_H63D,wt,AST_S,2362,0.81,0.49,1.7,2.235,8.086
HFE_H63D,het,ALT_S,769,0.86,0.52,1.74,2.216,5.063
HFE_H63D,hom,ALT_S,50,1.14,0.673,1.825,3.113,6.72
HFE_H63D,wt,ALT_S,2344,0.84,0.47,1.682,2.368,6.497
HFE_H63D,het,CRP_S,587,15.9,4.265,43.0,29.716,36.307
HFE_H63D,hom,CRP_S,30,9.47,0.988,40.945,28.802,44.675
HFE_H63D,wt,CRP_S,1852,15.4,3.928,44.925,36.483,52.609
HFE_H63D,het,GMT_S,754,2.095,1.05,5.68,5.268,9.191
HFE_H63D,hom,GMT_S,48,1.14,0.648,1.712,1.352,1.146
HFE_H63D,wt,GMT_S,2252,2.22,1.01,5.302,5.276,10.438
HFE_H63D,het,ALP_S,730,1.85,1.252,2.96,2.812,3.456
HFE_H63D,hom,ALP_S,48,1.305,1.052,1.552,1.406,0.59
HFE_H63D,wt,ALP_S,2154,1.92,1.37,3.16,2.726,2.536
HFE_H63D,het,GF(S)- MDRD,725,1.37,0.96,1.66,1.335,0.564
HFE_H63D,hom,GF(S)- MDRD,36,1.205,0.788,1.432,1.089,0.446
HFE_H63D,wt,GF(S)- MDRD,2334,1.37,0.97,1.73,1.364,0.638
HFE_H63D,het,Kálium-S,661,4.1,3.7,4.5,4.052,0.607
HFE_H63D,hom,Kálium-S,36,4.38,3.935,5.0,4.379,0.669
HFE_H63D,wt,Kálium-S,2179,4.0,3.6,4.4,3.982,0.639
HFE_H63D,het,Nátrium-S,660,139.0,136.0,141.0,137.744,4.71
HFE_H63D,hom,Nátrium-S,36,139.0,137.75,141.0,139.056,3.505
HFE_H63D,wt,Nátrium-S,2181,139.0,136.0,141.0,138.59,5.248
HFE_H63D,het,Chloridy-S,614,103.0,99.0,105.0,101.531,6.041
HFE_H63D,hom,Chloridy-S,35,103.0,101.0,105.0,102.974,3.767
HFE_H63D,wt,Chloridy-S,2045,103.0,100.0,106.0,102.312,5.778
HFE_H63D,het,Glukóza_ S,636,5.5,4.8,6.703,6.188,2.47
HFE_H63D,hom,Glukóza_ S,36,5.75,5.3,7.078,6.338,1.765
HFE_H63D,wt,Glukóza_ S,1976,5.46,4.79,6.66,6.285,3.246
HFE_H63D,het,Albumín_S,489,32.8,26.0,40.3,32.869,8.721
HFE_H63D,hom,Albumín_S,26,41.0,38.0,44.475,40.758,3.861
HFE_H63D,wt,Albumín_S,1503,32.4,25.4,39.3,32.086,8.786
HFE_H63D,het,Krvný obr._DIFF_5pop: Hemoglobín_HGB,335,120.0,104.5,138.0,120.606,22.567
HFE_H63D,hom,Krvný obr._DIFF_5pop: Hemoglobín_HGB,35,128.0,115.0,148.5,131.057,18.49
HFE_H63D,wt,Krvný obr._DIFF_5pop: Hemoglobín_HGB,927,122.0,105.0,138.0,121.475,23.45
HFE_H63D,het,Krvný obr._DIFF_5pop: Trombocyty_PLT,335,207.0,142.0,270.5,225.254,115.048
HFE_H63D,hom,Krvný obr._DIFF_5pop: Trombocyty_PLT,35,227.0,177.5,272.0,228.857,84.491
HFE_H63D,wt,Krvný obr._DIFF_5pop: Trombocyty_PLT,927,219.0,141.0,295.0,233.029,130.352
HFE_H63D,het,Krvný obr._DIFF_5pop: Hematokrit_HCT,335,0.358,0.308,0.405,0.359,0.069
HFE_H63D,hom,Krvný obr._DIFF_5pop: Hematokrit_HCT,35,0.382,0.342,0.436,0.393,0.056
HFE_H63D,wt,Krvný obr._DIFF_5pop: Hematokrit_HCT,927,0.365,0.316,0.411,0.363,0.068
HFE_H63D,het,Krvný obr._DIFF_5pop: Stredný objem_RBC,335,92.9,87.25,99.65,94.155,9.532
HFE_H63D,hom,Krvný obr._DIFF_5pop: Stredný objem_RBC,35,95.8,87.85,107.15,97.737,9.741
HFE_H63D,wt,Krvný obr._DIFF_5pop: Stredný objem_RBC,927,92.1,87.7,97.55,93.535,9.147
HFE_H63D,het,Krvný obr._DIFF_5pop: Leukocyty_WBC,335,7.0,5.0,10.5,8.826,6.296
HFE_H63D,hom,Krvný obr._DIFF_5pop: Leukocyty_WBC,35,6.3,5.0,8.7,6.914,2.716
HFE_H63D,wt,Krvný obr._DIFF_5pop: Leukocyty_WBC,927,7.0,5.4,9.6,8.154,4.444
HFE_H63D,het,Krvný obr._DIFF_5pop: Erytrocyty_RBC,335,3.8,3.215,4.505,3.862,0.895
HFE_H63D,hom,Krvný obr._DIFF_5pop: Erytrocyty_RBC,35,3.92,3.265,4.965,4.095,0.914
