Param_A,Param_B,N,Spearman_rho,p_hodnota,p_FDR
HbA1c %,HbA1c,110,1.0,1.761780497562414e-175,1.4727094080281602e-173
Tub. resorbcia,FE_H2O,50,-1.0,0.0,0.0
ABR_artéria: HCO3_B -  stand.,ABR_artéria: BE_B,298,0.999,0.0,0.0
ABR_kapilára: HCO3_B -  stand.,ABR_kapilára: BE_B,102,0.998,7.708790875956474e-122,4.452177130450134e-120
Quickov test: PT_%,Quickov test: PT_INR,3556,-0.995,0.0,0.0
Transferín_S,CVK_S,255,0.976,2.6268366092401996e-170,2.1395247408337165e-168
Krvný obraz: Hemoglobín_HGB,Krvný obraz: Hematokrit_HCT,3776,0.97,0.0,0.0
ABR_artéria: BB_B,ABR_artéria: BE_B,298,0.967,2.646035659640882e-178,2.271657371040341e-176
Krvný obraz_RET: Hemoglobín_HGB,Krvný obraz_RET: Hematokrit_HCT,34,0.967,1.2508354649477963e-20,1.777753402419094e-19
ABR_artéria: HCO3_B -  stand.,ABR_artéria: BB_B,298,0.966,4.032445249969427e-176,3.4157499564074355e-174
Chloridy_U (zbieraný,Nátrium_U (zbieraný),65,0.966,1.1618032431781683e-38,2.6266676170501437e-37
Krvný obr._DIFF_5pop: Hemoglobín_HGB,Krvný obr._DIFF_5pop: Hematokrit_HCT,5478,0.964,0.0,0.0
FE_ Nátria,FE_Chloridov,50,0.963,4.728844694692881e-29,8.608123308132915e-28
ABR_artéria: HCO3_B - akt.,ABR_artéria: BE_B,298,0.96,5.741246714617986e-165,4.394474744333502e-163
ABR_artéria: O2_B sat,ABR_artéria: PO2_B,298,0.957,2.903013625285158e-161,2.119867305912254e-159
ABR_kapilára: BE_B,ABR_kapilára: BB_B,101,0.955,7.953951095881099e-54,2.4062595862920296e-52
APTT: APTT_sekundy,APTT: APTT_ratio,3449,0.953,0.0,0.0
ABR_kapilára: HCO3_B - akt.,ABR_kapilára: BE_B,102,0.952,3.6651797143583525e-53,1.0983437134584252e-51
